tile_name,row_start,col_start,image_path,n_predictions_conf_005,n_predictions_conf_025,n_predictions_conf_050,max_confidence
train_0313_r7296_c5376,7296,5376,dataset/images/train/train_0313_r7296_c5376.png,3,1,0,0.26722896099090576
train_0263_r6144_c3840,6144,3840,dataset/images/train/train_0263_r6144_c3840.png,5,0,0,0.20783360302448273
train_0344_r8064_c4992,8064,4992,dataset/images/train/train_0344_r8064_c4992.png,5,0,0,0.1598561406135559
train_0114_r2688_c1152,2688,1152,dataset/images/train/train_0114_r2688_c1152.png,20,0,0,0.1575145125389099
train_0014_r0_c5376,0,5376,dataset/images/train/train_0014_r0_c5376.png,2,0,0,0.15053701400756836
train_0428_r10368_c1152,10368,1152,dataset/images/train/train_0428_r10368_c1152.png,4,0,0,0.15045112371444702
train_0275_r6528_c2688,6528,2688,dataset/images/train/train_0275_r6528_c2688.png,1,0,0,0.14896774291992188
train_0292_r6912_c3456,6912,3456,dataset/images/train/train_0292_r6912_c3456.png,5,0,0,0.1383761465549469
train_0255_r6144_c768,6144,768,dataset/images/train/train_0255_r6144_c768.png,3,0,0,0.13583573698997498
train_0429_r10368_c1536,10368,1536,dataset/images/train/train_0429_r10368_c1536.png,4,0,0,0.13335832953453064
train_0274_r6528_c2304,6528,2304,dataset/images/train/train_0274_r6528_c2304.png,1,0,0,0.13260051608085632
train_0333_r8064_c768,8064,768,dataset/images/train/train_0333_r8064_c768.png,2,0,0,0.13259932398796082
train_0442_r10468_c1536,10468,1536,dataset/images/train/train_0442_r10468_c1536.png,6,0,0,0.132454052567482
train_0441_r10468_c1152,10468,1152,dataset/images/train/train_0441_r10468_c1152.png,6,0,0,0.12517119944095612
train_0427_r10368_c768,10368,768,dataset/images/train/train_0427_r10368_c768.png,3,0,0,0.12013591080904007
train_0309_r7296_c3840,7296,3840,dataset/images/train/train_0309_r7296_c3840.png,1,0,0,0.11988351494073868
train_0332_r8064_c384,8064,384,dataset/images/train/train_0332_r8064_c384.png,6,0,0,0.11867524683475494
train_0015_r0_c5549,0,5549,dataset/images/train/train_0015_r0_c5549.png,2,0,0,0.11850658059120178
train_0430_r10368_c1920,10368,1920,dataset/images/train/train_0430_r10368_c1920.png,7,0,0,0.11324531584978104
train_0376_r8832_c5376,8832,5376,dataset/images/train/train_0376_r8832_c5376.png,4,0,0,0.11251921206712723
train_0348_r8448_c384,8448,384,dataset/images/train/train_0348_r8448_c384.png,5,0,0,0.10843437165021896
train_0394_r9600_c0,9600,0,dataset/images/train/train_0394_r9600_c0.png,2,0,0,0.10820262134075165
train_0440_r10468_c768,10468,768,dataset/images/train/train_0440_r10468_c768.png,1,0,0,0.10620982199907303
train_0411_r9984_c768,9984,768,dataset/images/train/train_0411_r9984_c768.png,2,0,0,0.10484851151704788
train_0349_r8448_c768,8448,768,dataset/images/train/train_0349_r8448_c768.png,4,0,0,0.10034793615341187
train_0412_r9984_c1152,9984,1152,dataset/images/train/train_0412_r9984_c1152.png,3,0,0,0.0904729962348938
train_0395_r9600_c768,9600,768,dataset/images/train/train_0395_r9600_c768.png,2,0,0,0.0893106535077095
train_0434_r10368_c3840,10368,3840,dataset/images/train/train_0434_r10368_c3840.png,2,0,0,0.08848139643669128
train_0443_r10468_c1920,10468,1920,dataset/images/train/train_0443_r10468_c1920.png,5,0,0,0.08809728920459747
train_0413_r9984_c1536,9984,1536,dataset/images/train/train_0413_r9984_c1536.png,1,0,0,0.08359691500663757
train_0207_r4992_c384,4992,384,dataset/images/train/train_0207_r4992_c384.png,2,0,0,0.07691917568445206
train_0350_r8448_c1152,8448,1152,dataset/images/train/train_0350_r8448_c1152.png,1,0,0,0.07554791867733002
train_0253_r6144_c0,6144,0,dataset/images/train/train_0253_r6144_c0.png,2,0,0,0.07437916100025177
train_0316_r7680_c384,7680,384,dataset/images/train/train_0316_r7680_c384.png,2,0,0,0.07364188879728317
train_0175_r4224_c384,4224,384,dataset/images/train/train_0175_r4224_c384.png,1,0,0,0.07093106210231781
train_0206_r4992_c0,4992,0,dataset/images/train/train_0206_r4992_c0.png,1,0,0,0.07054896652698517
train_0159_r3840_c384,3840,384,dataset/images/train/train_0159_r3840_c384.png,2,0,0,0.068400539457798
train_0317_r7680_c768,7680,768,dataset/images/train/train_0317_r7680_c768.png,1,0,0,0.05933993309736252
train_0308_r7296_c3456,7296,3456,dataset/images/train/train_0308_r7296_c3456.png,1,0,0,0.057154636830091476
train_0031_r384_c5549,384,5549,dataset/images/train/train_0031_r384_c5549.png,1,0,0,0.05580446869134903
train_0438_r10468_c0,10468,0,dataset/images/train/train_0438_r10468_c0.png,1,0,0,0.05440348759293556
train_0222_r5376_c0,5376,0,dataset/images/train/train_0222_r5376_c0.png,1,0,0,0.05319519340991974
train_0223_r5376_c768,5376,768,dataset/images/train/train_0223_r5376_c768.png,1,0,0,0.051032837480306625
train_0030_r384_c5376,384,5376,dataset/images/train/train_0030_r384_c5376.png,0,0,0,0.0
train_0042_r768_c3840,768,3840,dataset/images/train/train_0042_r768_c3840.png,0,0,0,0.0
train_0143_r3456_c0,3456,0,dataset/images/train/train_0143_r3456_c0.png,0,0,0,0.0
train_0158_r3840_c0,3840,0,dataset/images/train/train_0158_r3840_c0.png,0,0,0,0.0
train_0172_r3840_c5376,3840,5376,dataset/images/train/train_0172_r3840_c5376.png,0,0,0,0.0
train_0173_r3840_c5549,3840,5549,dataset/images/train/train_0173_r3840_c5549.png,0,0,0,0.0
train_0194_r4608_c1536,4608,1536,dataset/images/train/train_0194_r4608_c1536.png,0,0,0,0.0
train_0210_r4992_c1536,4992,1536,dataset/images/train/train_0210_r4992_c1536.png,0,0,0,0.0
train_0254_r6144_c384,6144,384,dataset/images/train/train_0254_r6144_c384.png,0,0,0,0.0
train_0257_r6144_c1536,6144,1536,dataset/images/train/train_0257_r6144_c1536.png,0,0,0,0.0
train_0258_r6144_c1920,6144,1920,dataset/images/train/train_0258_r6144_c1920.png,0,0,0,0.0
train_0285_r6912_c768,6912,768,dataset/images/train/train_0285_r6912_c768.png,0,0,0,0.0
train_0291_r6912_c3072,6912,3072,dataset/images/train/train_0291_r6912_c3072.png,0,0,0,0.0
train_0299_r7296_c0,7296,0,dataset/images/train/train_0299_r7296_c0.png,0,0,0,0.0
train_0314_r7296_c5549,7296,5549,dataset/images/train/train_0314_r7296_c5549.png,0,0,0,0.0
train_0329_r7680_c5376,7680,5376,dataset/images/train/train_0329_r7680_c5376.png,0,0,0,0.0
train_0330_r7680_c5549,7680,5549,dataset/images/train/train_0330_r7680_c5549.png,0,0,0,0.0
train_0351_r8448_c1536,8448,1536,dataset/images/train/train_0351_r8448_c1536.png,0,0,0,0.0
train_0364_r8832_c384,8832,384,dataset/images/train/train_0364_r8832_c384.png,0,0,0,0.0
train_0366_r8832_c1536,8832,1536,dataset/images/train/train_0366_r8832_c1536.png,0,0,0,0.0
train_0409_r9984_c0,9984,0,dataset/images/train/train_0409_r9984_c0.png,0,0,0,0.0
train_0425_r10368_c0,10368,0,dataset/images/train/train_0425_r10368_c0.png,0,0,0,0.0
train_0426_r10368_c384,10368,384,dataset/images/train/train_0426_r10368_c384.png,0,0,0,0.0
train_0435_r10368_c4224,10368,4224,dataset/images/train/train_0435_r10368_c4224.png,0,0,0,0.0
train_0439_r10468_c384,10468,384,dataset/images/train/train_0439_r10468_c384.png,0,0,0,0.0
train_0448_r10468_c3840,10468,3840,dataset/images/train/train_0448_r10468_c3840.png,0,0,0,0.0
train_0449_r10468_c4224,10468,4224,dataset/images/train/train_0449_r10468_c4224.png,0,0,0,0.0
