pipeline,tile_name,split,row_start,col_start,same_split_partial_tells,same_split_labelable_tells,other_split_tells,excluded_boundary_tells,partial_contamination,cross_split_contamination,excluded_boundary_contamination,any_unlabelled_tell,max_same_split_visible_fraction,max_any_visible_fraction,same_split_partial_ids,other_split_ids,excluded_boundary_ids
512,train_0015_r0_c5710,train,0,5710,0,0,0,0,False,False,False,False,,,,,
512,train_0042_r768_c3840,train,768,3840,0,0,0,0,False,False,False,False,,,,,
512,train_0086_r1920_c2304,train,1920,2304,0,0,0,0,False,False,False,False,,,,,
512,train_0106_r2304_c3840,train,2304,3840,0,0,0,0,False,False,False,False,,,,,
512,train_0107_r2304_c4224,train,2304,4224,0,0,0,0,False,False,False,False,,,,,
512,train_0142_r3072_c5376,train,3072,5376,0,0,0,0,False,False,False,False,,,,,
512,train_0143_r3072_c5710,train,3072,5710,0,0,0,0,False,False,False,False,,,,,
512,train_0148_r3456_c1536,train,3456,1536,0,0,0,0,False,False,False,False,,,,,
512,train_0155_r3456_c4224,train,3456,4224,0,0,0,0,False,False,False,False,,,,,
512,train_0158_r3456_c5376,train,3456,5376,0,0,0,0,False,False,False,False,,,,,
512,train_0159_r3456_c5710,train,3456,5710,0,0,0,0,False,False,False,False,,,,,
512,train_0174_r3840_c5376,train,3840,5376,0,0,0,0,False,False,False,False,,,,,
512,train_0175_r3840_c5710,train,3840,5710,0,0,0,1,False,False,True,True,,0.4174139666998199,,,103
512,train_0193_r4608_c384,train,4608,384,0,0,0,0,False,False,False,False,,,,,
512,train_0196_r4608_c1536,train,4608,1536,0,0,0,0,False,False,False,False,,,,,
512,train_0209_r4992_c384,train,4992,384,0,0,0,0,False,False,False,False,,,,,
512,train_0212_r4992_c1536,train,4992,1536,1,0,0,0,True,False,False,True,0.39716674888601866,0.39716674888601866,1400,,
512,train_0226_r5376_c768,train,5376,768,0,0,0,0,False,False,False,False,,,,,
512,train_0227_r5376_c1152,train,5376,1152,1,0,0,0,True,False,False,True,0.4868657878865311,0.4868657878865311,1400,,
512,train_0228_r5376_c1536,train,5376,1536,1,0,0,0,True,False,False,True,0.2403617966534801,0.2403617966534801,1400,,
512,train_0242_r5760_c768,train,5760,768,0,0,0,0,False,False,False,False,,,,,
512,train_0244_r5760_c1536,train,5760,1536,0,0,0,0,False,False,False,False,,,,,
512,train_0246_r5760_c2304,train,5760,2304,1,0,0,0,True,False,False,True,0.08604205820706318,0.08604205820706318,1095,,
512,train_0251_r5760_c4224,train,5760,4224,1,0,0,0,True,False,False,True,0.24780252418049054,0.24780252418049054,64,,
512,train_0257_r6144_c384,train,6144,384,0,0,0,0,False,False,False,False,,,,,
512,train_0258_r6144_c768,train,6144,768,0,0,0,0,False,False,False,False,,,,,
512,train_0260_r6144_c1536,train,6144,1536,0,0,0,0,False,False,False,False,,,,,
512,train_0261_r6144_c1920,train,6144,1920,0,0,0,0,False,False,False,False,,,,,
512,train_0266_r6144_c3840,train,6144,3840,0,0,0,0,False,False,False,False,,,,,
512,train_0267_r6144_c4224,train,6144,4224,0,0,0,0,False,False,False,False,,,,,
512,train_0273_r6528_c384,train,6528,384,1,0,0,0,True,False,False,True,0.44158180800231595,0.44158180800231595,656,,
512,train_0274_r6528_c768,train,6528,768,0,0,0,0,False,False,False,False,,,,,
512,train_0275_r6528_c1152,train,6528,1152,0,0,0,0,False,False,False,False,,,,,
512,train_0278_r6528_c2304,train,6528,2304,0,0,0,0,False,False,False,False,,,,,
512,train_0280_r6528_c3072,train,6528,3072,0,0,0,0,False,False,False,False,,,,,
512,train_0290_r6912_c768,train,6912,768,0,0,0,0,False,False,False,False,,,,,
512,train_0291_r6912_c1152,train,6912,1152,0,0,0,0,False,False,False,False,,,,,
512,train_0295_r6912_c2688,train,6912,2688,0,0,0,0,False,False,False,False,,,,,
512,train_0296_r6912_c3072,train,6912,3072,0,0,0,0,False,False,False,False,,,,,
512,train_0297_r6912_c3456,train,6912,3456,0,0,0,0,False,False,False,False,,,,,
512,train_0300_r6912_c4608,train,6912,4608,0,0,0,0,False,False,False,False,,,,,
512,train_0304_r7296_c0,train,7296,0,0,0,0,0,False,False,False,False,,,,,
512,train_0312_r7296_c3072,train,7296,3072,1,0,0,0,True,False,False,True,0.13160761570193955,0.13160761570193955,884,,
512,train_0313_r7296_c3456,train,7296,3456,0,0,0,0,False,False,False,False,,,,,
512,train_0314_r7296_c3840,train,7296,3840,0,0,0,0,False,False,False,False,,,,,
512,train_0318_r7296_c5376,train,7296,5376,0,0,0,0,False,False,False,False,,,,,
512,train_0321_r7680_c384,train,7680,384,0,0,0,0,False,False,False,False,,,,,
